# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0678296089  0.8500   70.950  -0.468  -2.793  -4.212  -5.003  -5.272
1.0678299665  0.8470   89.754  -0.043  -2.929  -4.595  -5.417  -5.717
1.0678302050  0.8430  120.186   0.906  -2.828  -5.076  -5.922  -6.269
1.0678306818  0.8390  152.495   1.706  -2.596  -5.462  -6.327  -6.711
1.0678311586  0.8340  177.441   1.954  -2.503  -5.705  -6.580  -6.985
1.0678316355  0.8290  191.847   2.019  -2.485  -5.827  -6.705  -7.119
1.0678322315  0.8220  198.543   2.057  -2.469  -5.877  -6.757  -7.176
1.0678329468  0.8160  197.950   2.000  -2.521  -5.889  -6.767  -7.185
# 1.0678329468  0.8150  137.200   1.534  -2.616  -5.275  -6.133  -6.504
1.0678330660  0.8150   99.119   0.405  -2.854  -4.740  -5.574  -5.895
1.0678331852  0.8130   73.783  -0.263  -2.763  -4.252  -5.055  -5.334
1.0678333044  0.8110   77.403  -0.171  -2.789  -4.329  -5.139  -5.425
1.0678334236  0.8090   97.601   0.393  -2.841  -4.711  -5.544  -5.863
1.0678336620  0.8060  130.273   1.428  -2.626  -5.182  -6.038  -6.403
1.0678340197  0.8020  164.913   2.003  -2.427  -5.562  -6.435  -6.835
1.0678343773  0.7980  191.759   2.123  -2.396  -5.801  -6.681  -7.099
1.0678347349  0.7940  207.327   2.169  -2.396  -5.919  -6.801  -7.228
1.0678350925  0.7880  214.415   2.199  -2.388  -5.969  -6.853  -7.284
1.0678355694  0.7830  207.613   2.039  -2.514  -5.964  -6.844  -7.270
# 1.0678355694  0.7820  148.852   1.965  -2.408  -5.385  -6.253  -6.642
1.0678356886  0.7810  107.264   0.859  -2.726  -4.852  -5.697  -6.035
1.0678358078  0.7790   79.479  -0.030  -2.768  -4.361  -5.178  -5.470
1.0678359270  0.7770   83.417   0.092  -2.779  -4.439  -5.261  -5.560
1.0678361654  0.7730  105.258   0.815  -2.728  -4.819  -5.662  -5.998
1.0678364038  0.7690  140.558   1.850  -2.435  -5.285  -6.150  -6.532
1.0678367615  0.7640  178.055   2.171  -2.324  -5.662  -6.540  -6.953
1.0678371191  0.7580  206.993   2.257  -2.325  -5.895  -6.779  -7.209
1.0678374767  0.7520  223.540   2.320  -2.334  -6.011  -6.896  -7.336
1.0678379536  0.7440  231.129   2.360  -2.332  -6.060  -6.945  -7.390
1.0678384304  0.7370  216.998   2.067  -2.527  -6.037  -6.921  -7.355
# 1.0678384304  0.7360  161.233   2.136  -2.310  -5.498  -6.374  -6.776
1.0678385496  0.7340  115.732   1.272  -2.599  -4.969  -5.819  -6.174
1.0678386688  0.7310   85.340   0.174  -2.776  -4.475  -5.299  -5.603
1.0678387880  0.7270   89.651   0.309  -2.782  -4.553  -5.383  -5.695
1.0678390265  0.7210  113.385   1.236  -2.598  -4.931  -5.780  -6.133
1.0678393841  0.7150  151.969   2.123  -2.295  -5.394  -6.266  -6.663
1.0678396225  0.7070  193.310   2.325  -2.240  -5.765  -6.648  -7.075
1.0678400993  0.6980  225.453   2.455  -2.250  -5.995  -6.880  -7.327
1.0678404570  0.6880  243.083   2.533  -2.269  -6.106  -6.991  -7.448
1.0678409338  0.6770  250.297   2.561  -2.279  -6.148  -7.036  -7.498
1.0678415298  0.6650  208.572   1.776  -2.815  -6.054  -6.930  -7.362
# 1.0678415298  0.6640  171.773   2.193  -2.308  -5.604  -6.482  -6.896
1.0678416491  0.6620  120.574   1.139  -2.724  -5.065  -5.912  -6.269
1.0678417683  0.6580   86.528  -0.237  -2.971  -4.553  -5.363  -5.659
1.0678418875  0.6520   90.189  -0.187  -3.005  -4.626  -5.439  -5.740
1.0678421259  0.6450  113.908   0.598  -2.939  -4.999  -5.835  -6.177
1.0678424835  0.6360  152.670   1.834  -2.538  -5.457  -6.320  -6.715
1.0678427219  0.6260  192.777   2.183  -2.397  -5.815  -6.698  -7.131
1.0678431988  0.6140  220.524   2.261  -2.412  -6.026  -6.919  -7.374
1.0678435564  0.6010  230.385   2.242  -2.473  -6.108  -7.008  -7.476
1.0678440332  0.5870  226.128   2.108  -2.602  -6.115  -7.015  -7.484
1.0678446293  0.5720  172.606  -0.578  -3.956  -5.860  -6.732  -7.183
1.0678458214  0.5340    0.000  30.024  30.021  30.026  30.066  30.058
