# Combined PARSEC isochrone (>= 0.55 Msun), Henry & McCarthy 1993, AJ, 106, 773's relation (0.09 Msun <= M <= 0.48 Msun), and Baraffe et al. 2003, A&A, 402, 701's isochrone (M <= 0.08 Msun)
# References for the PARSEC isochrone : 
# Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
#       Mini     MPD      Rad    MV_j    MI_c   MJ_2M   MH_2M   MK_2M
1.0536152124  0.6850  200.473   2.044  -2.544  -5.876  -6.763  -7.180
1.0536155701  0.6770  215.901   2.114  -2.541  -5.992  -6.881  -7.309
1.0536159277  0.6690  221.746   2.138  -2.544  -6.035  -6.926  -7.359
1.0536162853  0.6600  183.255   0.675  -3.441  -5.914  -6.780  -7.166
# 1.0536162853  0.6590  152.635   1.476  -2.771  -5.470  -6.344  -6.722
1.0536164045  0.6570  107.215  -0.042  -3.149  -4.920  -5.763  -6.077
1.0536165237  0.6540   76.675  -0.876  -3.041  -4.406  -5.195  -5.458
1.0536166430  0.6490   79.351  -0.881  -3.089  -4.470  -5.262  -5.527
1.0536168814  0.6440   99.714  -0.479  -3.239  -4.835  -5.662  -5.959
1.0536171198  0.6360  133.584   0.521  -3.153  -5.301  -6.158  -6.506
1.0536173582  0.6280  169.455   1.472  -2.884  -5.677  -6.553  -6.943
1.0536177158  0.6180  195.099   1.761  -2.800  -5.901  -6.789  -7.205
1.0536180735  0.6080  206.184   1.775  -2.834  -6.001  -6.893  -7.321
1.0536185503  0.5960  206.469   1.671  -2.937  -6.021  -6.915  -7.345
1.0536190271  0.5830  161.271  -1.372  -4.219  -5.857  -6.685  -7.046
1.0536205769  0.5320    0.000  30.031  30.026  30.030  30.070  30.062
