# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
1.067825913 0.889 122.391891 3274.914756 0.209 -5.115 -6.009 -6.364 -3.448 -5.37 -6.353
1.067828059 0.879 118.4275227 3289.273605 0.232 -5.056 -5.948 -6.299 -3.436 -5.312 -6.288
1.067828774 0.876 135.6290266 3209.223768 0.113 -5.28 -6.181 -6.555 -3.406 -5.533 -6.541
1.067828894 0.875 139.5573277 3193.007951 0.088 -5.326 -6.229 -6.606 -3.4 -5.577 -6.592
1.067829013 0.875 140.5894218 3188.599693 0.081 -5.338 -6.242 -6.621 -3.397 -5.589 -6.606
1.067829132 0.874 145.8655201 3166.649527 0.049 -5.398 -6.305 -6.689 -3.382 -5.648 -6.674
1.067829251 0.873 149.9866637 3149.923453 0.024 -5.442 -6.351 -6.741 -3.369 -5.691 -6.725
1.06782937 0.872 154.2242422 3133.285724 -0 -5.487 -6.399 -6.792 -3.355 -5.735 -6.776
1.067829609 0.87 160.602627 3109.567582 -0.036 -5.551 -6.466 -6.866 -3.337 -5.797 -6.847
1.067829847 0.868 167.1293195 3085.318477 -0.073 -5.616 -6.534 -6.94 -3.319 -5.859 -6.92
1.067830205 0.865 173.6411466 3061.963434 -0.107 -5.675 -6.596 -7.007 -3.315 -5.915 -6.985
1.067830563 0.86 180.8642138 3036.686788 -0.145 -5.739 -6.663 -7.079 -3.309 -5.975 -7.055
1.067831039 0.855 186.6176193 3017.171523 -0.174 -5.786 -6.712 -7.132 -3.303 -6.019 -7.106
1.067831039 0.855 114.117604 3291.546539 0.252 -4.978 -5.871 -6.22 -3.303 -6.019 -7.106
1.067831159 0.854 90.62596517 3433.207084 0.453 -4.596 -5.469 -5.781 -3.291 -4.848 -5.772
1.067831159 0.854 67.36784341 3623.264176 0.709 -4.114 -4.945 -5.216 -3.291 -4.848 -5.772
1.067831278 0.852 70.67285643 3590.872624 0.668 -4.19 -5.029 -5.306 -3.07 -4.426 -5.299
1.067831516 0.851 89.25912904 3439.537114 0.464 -4.57 -5.441 -5.752 -3.275 -4.821 -5.743
1.067831635 0.849 119.4132848 3260.618588 0.21 -5.049 -5.946 -6.304 -3.338 -5.305 -6.293
1.067831874 0.847 151.6186568 3120.326217 0.002 -5.436 -6.351 -6.746 -3.264 -5.683 -6.729
1.067832112 0.844 176.1783932 3034.589844 -0.13 -5.679 -6.604 -7.019 -3.247 -5.915 -6.994
1.06783247 0.841 190.1308741 2990.886965 -0.198 -5.8 -6.728 -7.152 -3.259 -6.027 -7.122
1.067832828 0.838 196.2694226 2970.981859 -0.228 -5.85 -6.78 -7.208 -3.262 -6.072 -7.175
1.067833185 0.834 199.5504194 2960.056495 -0.243 -5.872 -6.803 -7.233 -3.259 -6.092 -7.199
1.067833185 0.834 134.4165192 3181.266118 0.1 -5.233 -6.139 -6.518 -3.259 -6.092 -7.199
1.067833304 0.833 96.90644121 3375.981049 0.383 -4.695 -5.577 -5.903 -3.292 -4.95 -5.893
1.067833304 0.832 72.08628505 3563.69067 0.64 -4.209 -5.055 -5.338 -3.292 -4.95 -5.893
1.067833543 0.831 75.50098974 3532.645026 0.598 -4.285 -5.138 -5.427 -3.109 -4.528 -5.42
1.067833662 0.829 95.15960811 3385.322128 0.396 -4.664 -5.545 -5.869 -3.28 -4.919 -5.859
1.0678339 0.826 127.1020762 3209.962804 0.144 -5.138 -6.041 -6.412 -3.27 -5.391 -6.399
1.067834139 0.824 160.8616966 3073.264929 -0.062 -5.52 -6.44 -6.847 -3.198 -5.761 -6.825
1.067834496 0.82 186.6176193 2989.509928 -0.193 -5.758 -6.687 -7.111 -3.216 -5.985 -7.08
1.067834735 0.817 201.0724848 2947.134796 -0.26 -5.876 -6.808 -7.24 -3.233 -6.093 -7.204
1.067835212 0.813 207.3732074 2928.869355 -0.289 -5.923 -6.857 -7.291 -3.242 -6.135 -7.252
1.067835569 0.808 210.500264 2918.770848 -0.304 -5.944 -6.878 -7.314 -3.243 -6.153 -7.273
1.067835569 0.808 142.8738161 3134.007273 0.033 -5.321 -6.234 -6.625 -3.243 -6.153 -7.273
1.067835689 0.807 103.0273774 3327.361598 0.316 -4.787 -5.675 -6.014 -3.274 -5.043 -6.004
1.067835808 0.805 76.56894176 3513.985782 0.574 -4.298 -5.155 -5.448 -3.101 -4.543 -5.44
1.067835927 0.803 80.19598849 3483.37315 0.532 -4.373 -5.237 -5.537 -3.14 -4.621 -5.528
1.067836046 0.801 100.9142844 3338.873767 0.331 -4.75 -5.637 -5.973 -3.263 -5.006 -5.963
1.067836285 0.798 134.2618555 3166.649527 0.081 -5.218 -6.126 -6.509 -3.207 -5.468 -6.493
1.067836642 0.794 169.5323745 3031.79617 -0.124 -5.594 -6.519 -6.935 -3.157 -5.829 -6.909
