# Mini Mass radius_rsun Teff_K logg Jmag_2mass Hmag_2mass Ksmag_2mass F087mag F146mag F213mag
5.301856995 5.302 141.0108871 3950.936048 0.861 -6.007 -6.728 -6.948 -5.086 -6.186 -6.942
5.302715302 5.303 150.1594417 3915.615148 0.806 -6.114 -6.846 -7.073 -5.178 -6.298 -7.067
5.303621769 5.303 160.1963604 3881.50366 0.75 -6.225 -6.967 -7.2 -5.274 -6.414 -7.194
5.304480553 5.304 171.2587007 3845.91782 0.692 -6.34 -7.092 -7.332 -5.372 -6.534 -7.326
5.305231571 5.305 183.1692828 3809.780898 0.634 -6.454 -7.217 -7.464 -5.469 -6.654 -7.458
5.305891037 5.305 195.9082138 3773.983525 0.576 -6.568 -7.341 -7.596 -5.564 -6.773 -7.589
5.306492329 5.305 209.2920081 3738.522511 0.518 -6.682 -7.465 -7.726 -5.659 -6.892 -7.72
5.307051182 5.305 223.6931292 3702.542054 0.46 -6.797 -7.589 -7.858 -5.752 -7.011 -7.851
5.307572842 5.304 239.470844 3666.063642 0.402 -6.912 -7.713 -7.99 -5.844 -7.131 -7.982
5.308061123 5.303 255.3598678 3630.780548 0.345 -7.024 -7.834 -8.118 -5.932 -7.248 -8.111
5.308579922 5.301 273.6230281 3593.353968 0.286 -7.141 -7.96 -8.251 -6.017 -7.369 -8.244
5.30901289 5.298 292.5853958 3553.85742 0.226 -7.256 -8.083 -8.383 -6.097 -7.488 -8.375
5.309285164 5.295 314.7405105 3508.326469 0.163 -7.374 -8.211 -8.522 -6.164 -7.611 -8.514
5.309500694 5.291 337.7167839 3465.77209 0.101 -7.49 -8.337 -8.659 -6.23 -7.732 -8.65
5.309691906 5.286 362.2035019 3424.522311 0.04 -7.604 -8.461 -8.794 -6.279 -7.85 -8.786
5.30987215 5.279 388.46567 3383.763489 -0.021 -7.716 -8.583 -8.93 -6.318 -7.966 -8.921
5.310042381 5.268 415.4824126 3344.259735 -0.08 -7.818 -8.696 -9.061 -6.32 -8.071 -9.051
